,text,label
0,源海都学愤怒鸟的声音，好像好厉害…,1
1,嘿嘿~~最优秀的作品，值得用诚意去尊重~因为我喜欢她的音乐，因为我爱李宇春，所以，我愿意收藏并向周围的人推荐她的每一张心血之作~,1
2,所以不管在人生路上还是考研路上，面对逆境时我们依然要相信自己是无价之宝、自己是最棒的。,1
3,如果只是维护三大石油集团的利益，跟我有毛关系呢？,0
4,那些像打了鸡血一样的愤青，你坐飞机他们会给你燃油附加费打八折吗？,0
5,刚才准高三的体育生和高一届的体育生拔河，太鸡冻了~但忘拍照了，好像明天也来，明天高二的要争气了！！！,1
6,话说大约十年前，十块钱炸肉岗尖一盘，加一瓶啤酒，就是我一顿饱饱的午餐。,1
7,现在呢，图中这寥寥十数根，就是十块钱的肉，算开胃菜么?,1
8,如同观看一部真正的大片一样...,1
9,看到了首回合人类的顽强抵抗...,1
10,庆幸能看到这样一部上下集的大片...,1
11,相信人类依然会不断地努力去征服的！,1
12,《证据》也后终于要送审了，期待的人们，为之祈祷顺利通过吧！,1
13,你会不会因为一首歌喜欢上一个人，因为一个人喜欢一个城市；因为一个城市喜欢上一种生活，然后因为一首歌，想念某个人？[月亮],1
14,2011，找回自信的自己！！,1
15,活动消息传开，得到佛山市粮有油食品公司的积极响应，1137升的大空间，为咱们的活动换回来近80箱的面条！,1
16,贵州人，大学副教授，因举报贪污腐败而家破人亡，流落街头。,0
17,因多次寻求司法帮助未果，现辗转于各地，希望通过广大有善之人的帮助，能够异地审理此案件。,0
18,(之前的围脖在转发4771次后被和谐，新浪编辑，如果你们再和谐，下一个被迫害的就是你家人),0
19,尼玛！！！,1
20,突然感叹还好抓鸡是横屏的有木有！！！！！！！！！,1
21,[大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑],1
22,恭喜第488位投票的是@Summery_WJ 第588位投票的是@JJFederation-霄雯 第888位投票的是@------平行线----- 以上童鞋获得2011银鹭花生牛奶i唱i音乐城市歌会门票一张！,1
23,私信我留下有效联系方式哦，恭喜恭喜！,1
24,如果运用合适的搭配方法，通体透明的裤装绝对是扬长避短的最好单品。,1
25,层叠穿着和皱褶的遮挡都是不错的选择。,1
26,好热，昨晚没睡好，做了个噩梦，还好会醒过来，梦里痛苦挣扎，以为挣扎不过来，吓死我！,0
27,钱是小事，把老师教坏了[抓狂] 钱是小事，把老师教坏了[抓狂]  [赞] [赞]  作为老师，严重关注，严重支持！！！！,0
28,长此以往，中国的教育恐怕没有明天。,0
29,当我们吃着零食时，有没有想过爸妈是否在家吃着干馍干菜？,1
30,他们不怕苦，因为孩子永远是他们的动力！,1
31,一出门就被凶狗狂叫尾随近400米是怎么回事...?,1
32,害怕死了还要装镇定缓步走...,0
33,[泪] 睁大你的狗眼好吗!!,0
34,我的脸上不是写着 死好人 三个字吗??!! [抓狂],0
35,明天再这样，只有请教科教卫的同志，这到底是什么味道，是真的露天焚烧垃圾的味道吗？,0
36,是他们趁着夜色的掩护焚烧垃圾吗？,0
37,是不是可以请有关同志虚拟关心一下。。。,0
38,"[晕][晕][晕][晕] 其实我还是刚出生得婴儿啦[害羞] [害羞] [害羞] ,[六一快乐] 各位六一快乐[六一快乐] !",1
39,[奥特曼] [奥特曼] [奥特曼] [奥特曼],1
40,当人们认为四分钟跑一英里是人类极限时，1954年5月，班尼斯特用3分59秒4跑完了这个距离，他如何做到的？,1
41,＂心智模式＂的突破是他成功的关键。,1
42,官方cafe更新钟勋生日祝福1P ：崔钟勋，在你的这第22年里 希望这年里你可以做自己最想做的事 队长这个位置 怎么看都不错 但又怎么看都是累的 这位置好像是要付出得更多 虽然累 但请一直努力吧 因为身后有PRIMADONNA 真心祝你生日快乐,1
43,啊啊啊啊啊啊啊啊啊啊,1
44,斗俊sama........你这样俺们受不住啊...,1
45,伤不起的国航！,0
46,还好一兄弟帮忙，挤上了前一班，从办公室急奔机场，现在要登机了,1
47,今天无意中看到了两张当年幸存下来的照片，一瞬间感慨万千！,1
48,一开始挺喜杨澜，后来加了杨澜微博。,1
49,和乐清看守所警号035654的警察大吵一架。,0
50,你们每个律师来见，都去核实吗？,0
51,做坏事的人以后天打雷劈。,0
52,老同事们再相见，令我目瞪口呆的是一个个均完美大瘦身，变化之大让人不敢乱认，连打招呼都得经人不断确认不断提醒。,1
53,唉，蛋定，蛋定！,1
54,今天情景和第一次是如此的相似，暴雨再次中断考试进程，但最终过了！,1
55,一年了，真TMD内牛满面啊！,1
56,飞屋被带到了现实中了！,1
57,一大早看到这个有没有很激动呢~,1
58,"我只关心做的是不是坏事,写些狗屁不通的文章供有关部门强奸网友,做这种事的人就该被人唾骂,管他是出于什么理由",0
59,爱大家！,1
60,特别爱！！,1
61,明天下午3:00我们中央电视台（非常6+1）微访见[亲亲],1
62,高考日，祝同学们考试顺利！,1
63,[呵呵] 高考是我们苦读的结束，也是我们脱离被动学习状态，学会自学，进入全新奋斗的开始！,1
64,如果有可能我真要戒了...,1
65,本来应该很高兴的仙女们的好节日 。,1
66,这会儿他还携同家属及同事们在天上飞呢[飞机] ，些许明天下午能见到他。,1
67,[思考] 我来七岁叫了，安~[月亮],1
68,有饭发短信，金希澈念：我经常吃饺子只吃陷，吃饭也只吃肉，我这样很乖么？,1
69,我承认我很out，但是老爷子也太潮了吧- -,1
70,囧~那天看到年轻人在玩街攀（自行车），就屁颠屁颠的跑过去学了一下午，说要学从楼梯上冲下去~~- -,1
71,-我勒个去~~刚好又看到一部downhill的车~~,1
72,——多么称职的女主持人，多么红火的娱乐节目,1
73,睡觉了，睡前最后给各位童鞋娱乐一下，这张GIF该有喜感了，反正我是笑喷了。。。。,1
74,经年之后，我们能偶然遇见，在属于你们的长乐路，韩庚庚牵着小奶奶与我擦肩而过，我想那时我是幸福的。[织],1
75,六一快乐哟！[月亮],1
76,看到马路上水片就去跳跳~~哈哈。。,1
77,别人的裤子都被我溅湿了~~很有成就感！！,1
78,很开心啊~~~[鼓掌] [鼓掌] （小小鄙视那些咒骂下雨的人儿们啊~~~[挖鼻屎] ）,1
79,小笨穿的可美了 准备美代一双 各位觉得美貌不？？,1
80,经常有人请吃请喝请玩也不错...,1
81,[偷笑] 这几天吧里是玩爆上瘾了....,1
82,这几天过得很精彩，各种精彩～,1
83,爸爸妈妈我爱你们，阿姐姐夫谢谢你们，想你丹，爱你龙，感谢所有，超幸福～,1
84,[蛋糕] [蛋糕] [蛋糕] 都忙忘记了，不然今天应该穿漂亮点的。[可爱] [可爱] [可爱],1
85, 文革时期的广西发生过更加惨无人道的事情。,0
86,这些娜狗，还没开打个个都跑出来吠，,0
87,[赞][哈哈] 我们爱讲冷笑话:趁年轻 赶快留下点什么吧~[奥特曼],1
88,Facebook上遇到一个完全不懂中文的马来西亚男玉米，这位同学只能利用比较少的一些李宇春的英文介绍和少量的Cantonese顽强成长着，竟然还不火星，竟然还自己贴了我葱《达人志》的新图。,1
89,感动的是，只是因为wikipedia的小介绍，只是因为音乐纯粹的爱下去,1
90,这总统太帅了！,1
91, 我喜欢。,1
92, 给力！,1
93,儿子近来表现不是很好，今天我教育了他：人吃饭是为了活着，但活着不一定就是为了吃饭；,0
94,刚接到Katty的电话，她正在北京机场，一家人要飞往香港，快一年没听到声音，很亲切，这次回国她不来上海，否则尽地主之谊，好好地陪着游玩。,1
95,我们都希望彼此的生活能越来越好！,1
96,虽然首回合意外落败，但是我对于他们翻盘仍然充满信心。,1
97,因为那是必须的。,1
98,米兰拥有热刺所不具备的欧冠淘汰赛经验，以及豪门的气质。,1
99,他是如此诚实的一个运动员和一个伟大的人。,1
100,他从不做坏事。,1
101,我坚定不移地站在他身后支持他，我希望他能够尽快返回赛场，正是因为有了像他这样的家伙，英超才能够成为世界第一联赛。,1
102,哈哈哈，今天我终于可以睡一半的床了！,1
103,[鼓掌][鼓掌]宝宝今天安单睡在中线的另一半[偷笑]我本来睡相不差，可是和宝宝睡一起太压抑了，导致我现在宝宝不在的时候我就会翻来翻去的睡觉[偷笑],1
104,才六月!,1
105,六点起床就已这温度了!,1
106,我的愿望很简单：在哪里遇到你，在哪喜欢你，在哪把你放在心里；我的爱很简单：不要你的承诺，不要你的施舍，要给就给你的真心。,1
107,在忙的时候、在苦的时候、在悲伤的时候，有你就好。,1
108,我希望你快乐、对家人有责任；你幸福、自己的爱明白。,1
109,真想你~,1
110,"沃尔玛真坑爹啊,今天多收了我 8元钱被我查出 来了,不知道以前还多收了我好多钱,看来以后去沃尔玛要带个计算机了^^^^",0
111,不过晚上演出拿了礼品还有大白兔奶糖。,1
112,这样的忙碌真好。,1
113,国奥队你们还有脸坐商务舱呀，你们的飞机就该掉下来把你们扔死海里，不要脸的王大雷你还说阿曼太热了，南极冷你们又受不了，本来不想说你们了，什么玩意呢，国家也是你们溅呀，这个队连空调屋都别给他们，看看我们的后备力量在土地上练球，你们怎么不播经费给孩子们呢！,0
114,国奥队，你们死在阿曼吧,0
115,"到现在我的心都没变,所以还是会继续支持的!",1
116,所以加油吧!,1
117,前两天，我刚过完我9岁的生日，今天又过儿童节，好开心呀！,1
118,明天可以跟好朋友只是去肯爷爷那里去吃儿童套餐，还可以一起去游乐场玩。,1
119,真想每天都能过六一！,1
120,[哈哈],1
121,小马丁进球啦！！！！！！！！,1
122,重庆电信你特么牛逼了，老子在广东也好贵阳也罢，都没有说用自己身份证不能办宽带的，只有你这里是这样，特么你是多牛逼，是多牛逼？,0
123,老子用联通去，特么王八蛋,0
124,如果这都不叫相配，你告诉什么叫做爱你就要变成你？！,0
125,什么叫做夫妻相啊！！！！,0
126,[抓狂] （图F：yjlove 非邪教勿手滑哦！）,0
127,[喇叭][礼花][礼花][礼花]恭喜心如大小姐获得华鼎电影满意度调查＂华语电影最佳女配角＂[鼓掌][鼓掌][鼓掌],1
128,关系到孩子的健康，怎么能如此忽视？,0
129,教室终于可以安空调了 从那么多的惊叹号 就可以知道……,1
130,我们好热 教室真像个闷骚的小蒸笼 我们终于得到救赎了！,1
131,无法形容的美貌啊。,1
132,惨白的少年啊~~~~~让俺扑上去吧&gt;&lt;！！WP：1440x900pt。,1
133,我很幸运，能为自己喜欢的事忙碌，也就不觉得累。,1
134,这种热情对找工作很有用。,1
135,好多人说我自从胖了以后，就再也找不到品位可言了，现在瘦了，又剪了一个难以驾驭的头发，不收拾收拾出门真的是对不起自己多年游历各地的装备，明天给力星期天，走着您嘞！！,1
136,只是现在的太阳不再是自然的阳光，空气中弥漫的各类的化学物质使得太阳的光芒再也不是那样的可爱，而是一种极具杀伤力的致病武器。,0
137,还敢迎接这样的太阳的光辉照耀吗？,0
138,今收到老公发来的节日问候，超给力，与各位分享！,1
139,三八节温馨提示：家和万事兴！,1
140,木卫四你到底做了些什么见不得人的事……,1
141,居然能搞到某些人的稿子！！,1
142,刚把周笔畅的唱歌去旅行的演唱会看完，不得不说，还是很不错的，和其他开过个唱的超女比起来，无论曲风舞台造型和安排都洋气很多，没有大陆选秀明星的影子，大家可以去看看[赞],1
143,虽然都是小说家言，虽然或许很不真实，但这是我喜欢的。,1
144,我们更相信他无时无刻都感受的到我们在为他付出！,1
145,为你！,1
146,我们心甘情愿！！,1
147,看到大家收拾东西，办理离校手续，我开始恐慌，大家都离开了，我也必须得走了，但是我却不知道我该去哪里。,0
148,尼玛直播！！！！！！！！！！！！！！！！！！！,0
149,太又桑啊！！！！！！！！！！！,0
